label	text
1	破防了 破防了 狗急乱咬人的样子 跟你四千刀主子一样，在路人眼里就是个小丑笑话
1	我给你爹妈活扒一层狗皮
0	校园暴力，严惩不贷!!!
1	宝宝，既然你这么剑，这么喜欢，那只能送给你烧烂你的逼了，宝宝，我的好宝宝 
0	她哭了，我也哭了她凭什么
1	你上法庭你拿不出证据！就是诬陷！就好比你说他杀人了，你难道要杀人者拿出他杀人的证据吗？法盲白痴
0	你这不也是在扒私追私，用不着。
0	催婚？会被催婚左右的连自己都没长大！怎么负责家庭，怎么带好孩子？？
1	哗众取众的一套 演的吧 不是演的话就是脑子有问题
1	垃圾人
0	我身上总有一下比较尖锐的东西，幼儿园开始就有一把剪刀
1	别死的太干脆，虐杀他好吧
1	抓住一只女权狗
1	非常恨，恨死那些人了
0	好过分啊
0	我就是大连的，是谁跟你说网暴了，至少我身边的人根本没提起他俩，都是讨厌这个病毒，希望这个破病毒赶紧结束。请你来大连，给我们大连人民都做个采访，再发视频。就听片面之词嘛。
0	那个抑郁的兄弟遭遇和我一样
1	道尼玛个逼 滚
0	1月8日遵照天津当时疫情防控政策，2人持核酸检测阴性报告坐T367次列车来连，下火车后购买饮品随即打车回家，并主动向社区报备。根据政策，严格执行居家隔离，10日社区卫生服务人员入户进行核酸采样，检测结果为阴性。12日核酸检测结果为阳性。多看看新闻在说话吧！
0	我家长:不想读就别读
1	网暴的就是这种沙口 大家知道了吧
1	这么[无柄茶杯]你蒸煮知道吗[吃惊]，没关系我有截图，先犯[选择匕首]还倒打一耙上了 
1	嘿嘿嘿嘿猥琐女怎么了
0	我们这里也是这样搞得封了个区，但是也不应该遭到网暴啊，这是规定里的bug，不过对风险地区集中隔离会比较好。
1	你还有脸说别人网暴你 你评论区那么恶臭 对别人不算网暴吗 
0	中国队团体史上最好成绩！很棒～
0	我一般随身带 MP3和MP5。
1	真是人美心善的沙鸥小姐啊，长得漂亮心态也好[挖鼻]
1	“我都是为你好”
1	他受伤个锤子 真受伤早就上轮椅了 他说他甲沟炎我还能相信他一点
1	家暴男s不s啊哪来的优越感？谁给你的脸？#咸阳一男子家暴妻子#
0	那个女生哭着去捡
1	你看看这禽兽对孩子做了什么，孩子五个月的时候就扔孩子，吼骂孩子，就这样这妈还要给孩子一个完整的家庭，我简直无语了
0	贵州这边全校80%的男女生都是混混，我是那20%
0	她10号还坐公交去亲戚家吃饭了 这叫居家隔离吗
0	这楼好像发了报考志愿咨询帖子之后的激烈讨论哦。。。
1	我会微笑着用板砖“轻轻”的擦着他的头骨
0	还是得怪我心理承受能力太差
0	俺觉得这是人性的弱点，别的国家的人也这样，人类就是热衷于窝里斗，一点也不高级…
0	个人信息会第一时间在所在的小区，社区泄露，然后大家疯狂转，基本就是这么泄露的
0	语言暴力算暴力，但一般无法直接起诉
1	他那个老母亲也不是个人 早点去十八层地狱吧
1	所以你是来蹭热度的?送你俩字儿 呵呵
0	以前家长最喜欢的一句话：你看你们班那个谁谁怎样怎样
1	辛苦队员们拖航母了[悲傷]
0	其实居家隔离的政策一直都模棱两可 负责的社区管得严 其他的就流程上监督一下吧 上海入境14+7的7天居家健康监测 没有封条可以出门可以去饭店吃饭 最近新增的几例无症状好像都这样 我在dy上关注的一up主 +7的时候还去探店来着
1	您ta ma有毒吧，你有[马脸]吗？这是医生？？？谁敢给她看病？送你上去[狗脸]东西
1	下一个生病被拦的就是你家人 看你急不急[送花花]
0	有些人阅读能力差还多嘴
0	大家都是闲的了吧
1	犇牛，一个近亲繁殖的儿童。靠可怜的会员费苟延残喘。徐晓峰的现在就是他的明天。
0	现在防疫政策都是提前报备的，不是到了地方以后隔几个小时再说
1	这就是[男士浅肤色] 网页链接
1	有种人，必须要人指着他鼻子骂，他才知道骂的是他。
1	物以类聚，人以群分。估计小三的朋友圈三观都差不多。
0	很棒了
0	没有
1	你这种搬床把批都搬皱了的烂批慕勾这辈子给金玟庭舔鞋都不配
0	1还是被学霸打的
0	抑郁症是借口吗，是逃脱批判的理由吗
0	往事不堪回首
1	睡前骂装逼犯[吐]
0	那天津可真棒棒呀要大连人感谢一下吗
0	今年估计不可能回得去了，唉……已经四年没回过家了，五味杂陈。
0	往事不堪回首
0	这就是女拳在网上打拳的代价，现在积怨已深，逮着一个是不可能放过的。你们接着打吧
0	回家明明必须上报！自己不报！从疫区回来自己隔离15天这个是每个公民义务！
1	对自己的老婆下这么重的手，真是禽兽，应该去坐大牢
0	打开评论区前我是没想到居然会因为天大和南开谁是第一而吵起来，争论这个的怕都是高中生或者是刚大一大二的本科生吧，不看专业说排名的怕是来搞笑的
1	直接让他饿死吧
1	这女的满嘴谎话，7号天津就有病例，他俩8号下午跑回来了你说他们正常不？而且还隐瞒去过风险地区，回家到处串门，骂她都是轻的
1	恨，所以问候了他们祖宗十八代
1	傻的一逼，真想抽死他
1	是啊！如果是黑傀白皮留学牲呢？！
0	我小学三年级的时候一个女生不允许我和别人说话，只要我和别人说话她就使劲打我，现在还记得有一次她拿那种特别硬的绳子抽我的脸。。。
0	她们是病人，请不要站在上帝角度骂人，将心比心，没必要网暴她们
1	绝对有病
0	当时我们班上有个女生因为家里出了事
1	big胆敢这么说豪太君
1	儿跟妈真的都是死垃圾
0	素质低，大环境从来没重视过个人隐私
1	二极管[脑]？
0	这是他想做的，后悔是不可能的
0	真的很多
0	那些所谓卫健委高层报告流调暴露年龄工作单位那么详细干嘛 真是有意思 得了新冠或许不可怕 因为新冠社死才可怕
1	我想要科普一下林孝埈在韩国因为脱人裤子被检察院提起公诉的定罪依据和评价标准，你觉得你配让学校给我解释吗
1	真的比苍蝇屎还恶心
0	之前评论区都有人家名字了，都被爆出来了，
0	出什么战啊，还想再骂人给别人家庭造成二次伤害？
1	我会转一些傻逼言论给大家笑一笑[嘻嘻][嘻嘻]
1	第一个被我鲨[给力][给力][给力] 
1	笑死了，今天因为新冠没见死人，倒是因为没核酸耽误治疗死了不少，真是奴才当久了站不直了
1	清华确实出流氓，女的
1	是你家乡人[doge][鼻子]辣鸡
1	今天是你最火的一天哦 管管你的粉丝 别一个个建得像没妈一样[舔屏][舔屏][舔屏] 
1	大家都很努力，只有朱易毫无体育竞技精神
0	伤害他人罪，可以拘留12个月，到四年不等。
1	海狗们能换个话术吗？我都看腻了
1	这男的不死留着过年吗？！！！！！！！！！！！
1	伤的是第三条腿
0	建议别公开问比较好，要不然有网暴想法的人会顺着你的评论找到他们继续网暴
1	我不是那五千多人之一，我也骂
0	扎心了，老铁
0	是真是假的都要自己承担
1	哈哈哈哈哈哈 大明星怎能坐轮椅呢 更何况是核废水太君
0	如果是一个男生，你还会关心他是不是抑郁会不会自杀么？
1	你在拐子窝？
0	往事不堪回首
1	婊子总是不择手段得让自己火！
0	人以群分  能看到这个视频的很多也是受过暴力的
0	大连上轮疫情可是做到了零外溢，天津呢
0	我被老师按在地上打了一顿
1	互相道歉尼玛呢，你这人脑子有毛病
1	楼上那几个生活太不如意了吧啥事都喜欢想得那么阴暗呢
1	八嘎，我们任桑还不能插队吗
1	就你这种智商也能大学毕业啊
1	垃圾，把自已也扔了吧
1	它和它妈biss！！！无人收尸的那种！气死了！
0	现在其实我都有一点点
1	宝是没妈妈吗
1	大嘴巴抽它！
1	是的 所以大家别怪他  毕竟核废水喝多了脑子不好[拥抱的脸][拥抱的脸]
0	免疫加一
1	我说这诈捐老树皮粉还在剧超里犯见呢，是看到老树皮的垮皮饭拍又破防了，天天在家带小男友能不榨干吗！蒸煮和粉丝都消停不了是吧？需求太大了是吧？
0	我只想知道在哪看视频
0	我爸页这么骂我
1	二千红包去贿赂医生
1	多骂点  放开来骂
0	想杀了他
0	经典玉玉症
1	不知道为什么回复不了你，但我觉得说你有病都是抬举你，我就是不喜欢男女拳，你爱的偷国明星，你要偷换概念讲我打拳，那我和你没什么好讲，因为即使...
1	什么时候吃屎
0	真笑死了 有人吃饭给我戴口罩来看看？你恨死人家 就因为你老公休假给取消了 
0	确实是最好成绩除了皇族以外其他人都辛苦了！都很棒！
1	理性抽这个傻×
1	这是说的哪个法盲
0	这个时候也要感谢陈虹伊努力拿下的女单名额，大家辛苦了
1	太恶心了真的很讨厌插队的人
1	他的脸是被挖掘机压过了吗？
1	[扫帚]垃圾，人人有责，看见脏东西，我就恶心 
0	我们这边有个地方的名字叫做打架㘭，正好就在我们学校旁边
0	算
1	可不是素人，堂堂国家二级演员，夺命网红，被各检察院普法为敲诈勒索嫌疑犯！妥妥...
0	可关键是，你们会改吗？
1	应该捐又大又粗又长的黄瓜。
1	这男的整个一个cs。这老的也是瞎
1	上蹿下跳的女人自己觉得是救世主其实是无聊透顶
1	哈哈哈哈哈任桑
0	祝贺花滑团体创造历史，你们拖飞机辛苦了
1	是我我就退网了 真不要脸 舍不得流量是吧怂货
1	你be了莎头都不会be
1	北京站没了，林孝埈距离被更多的人发现早就废了又远了一步，哦恭喜恭喜ヾ ^_^♪ 
0	因为网暴大连市是没人管的。人家小区群里截图大家在安慰那一家子，然后这个没人关注的媒体就抓住了流量密码。你看用918说东北多死点人的那个屁事儿没有，说南京大屠杀的立马开除
1	那些魔都的贵宾犬应该饿死了她们得了！浪费食物，看着都可惜！可恶！
0	爱你们
0	你tm到底推广了多少钱！
0	我打大连12345询问为什么自费隔离，给我的回复是我自愿流动就应该承担风险，我正常放假回家，我还是8号早上离校的
1	原来你长这样？不是同一个人吧？这么丑的小三？
0	只能说，有些人无视国家法规，遇事双标，以完人的身份妄言一切。
0	说残忍那个，你试试
1	给他[一堆屎] 吃，我可以提供快递，我天天都拉肚子
1	他娘的恨死了
0	我爸让我自生自灭
1	[看]子。商女不知亡国恨
1	看到这玩意儿就来气，赶紧封了这个傻逼行不
0	辛苦了 都很棒了！！
1	贱货贱货
0	简而言之，把事情闹大（亲测有效
0	3
1	对啊，就是很贵啊，穷乡僻壤的辣鸡穷币，这是你这辈子唯一能跟我对话的机会。
1	死东西 他妈他妹也都不是什么好玩意
0	求您了加个的 天津的大学生
1	道什么歉 做错什么也不可以这样打人。还有那个婆婆 死人 看来没有少被公公打才这么冷漠
0	是，要是你指定做的老好了，滴水不漏让人挑不出理
0	对
0	那个……有拿着风油精喷雾的吗？
1	大妈  别没事蹭热度了  死都不知道自己咋死的   丑b玩意儿
0	多名老百姓举报河北保定法官--张彦兵主持分配巨额工程款不公，恶意偏袒放贷公司，背后有保护伞撑腰，多人举报无果，请正义的网友大家关注此事，让上级部门介入调查
1	变态
1	你活不到明年了[开学季]今年的数据今年必须预知是吧
0	不算，暴力有明确定义了
0	《表面说说》
1	“我想掐死你”这句话我记了很久 很久……
0	太lj
1	貌似现在被抓了的境外势力女权大v全是男的反串的哦，美国是承认了，但是为啥被抓的都是男的呢，男的作妖，关女权屁事哦
0	算
0	所以说一句“抑郁了”大家就得惯着你吗学废了学废了这就去实践
1	恶心
1	[日语祝贺按钮]早日地狱
0	这种改的不还是我们吗。。
0	我妈这样啊就
1	对啊，首先立法是要支持的啊！不支持的一群杠精
0	正道的光，照在了大地上
1	美就拽就你那样还是算了吧大姐 你入境捂磕烂可能会被当成不明生物打死 差不多的了[笑哈哈]
